municipality,year,treat,newcomers,rents,popu,year_2013,year_2016,year_2018
adachi,2016,0,28195.0,264300.0,364,,,
adachi,2017,0,30623.0,,368,,,
adachi,2018,0,31040.0,283600.0,350,,,
adachi,2019,0,,,496,,,
adachi,2020,0,,,688,,,
adachi,2021,0,,,667,,,
arakawa,2016,0,11571.0,385800.0,257,,,
arakawa,2017,0,12061.0,,226,,,
arakawa,2018,0,12403.0,429600.0,191,,,
arakawa,2019,0,,,170,,,
arakawa,2020,0,,,170,,,
arakawa,2021,0,,,166,,,
bunkyo,2016,0,17011.0,788800.0,706,,,
bunkyo,2017,0,16980.0,,776,,,
bunkyo,2018,0,17589.0,867500.0,711,,,
bunkyo,2019,0,,,790,,,
bunkyo,2020,0,,,561,,,
bunkyo,2021,0,,,532,,,
chiyoda,2016,1,6383.0,2358600.0,1134,,,
chiyoda,2017,1,6764.0,,986,,,
chiyoda,2018,1,7493.0,2618600.0,934,,,
chiyoda,2019,1,,,1016,,,
chiyoda,2020,1,,,632,,,
chiyoda,2021,1,,,591,,,
chohu,2016,1,15055.0,318800.0,129,,,
chohu,2017,1,14390.0,,53,,,
chohu,2018,1,14469.0,325900.0,83,,,
chohu,2019,1,,,47,,,
chohu,2020,1,,,0,,,
chohu,2021,1,,,48,,,
chuo,2016,1,15946.0,1108700.0,523,,,
chuo,2017,1,16853.0,,501,,,
chuo,2018,1,15374.0,1195700.0,565,,,
chuo,2019,1,,,459,,,
chuo,2020,1,,,344,,,
chuo,2021,1,,,239,,,
edogawa,2016,1,32199.0,311900.0,0,,,
edogawa,2017,1,32270.0,,29,,,
edogawa,2018,1,31131.0,332000.0,0,,,
edogawa,2019,1,,,174,,,
edogawa,2020,1,,,138,,,
edogawa,2021,1,,,141,,,
funabashi,2016,0,27714.0,141900.0,0,,,
funabashi,2017,0,28575.0,,131,,,
funabashi,2018,0,28680.0,145300.0,0,,,
funabashi,2019,0,,,0,,,
funabashi,2020,0,,,157,,,
funabashi,2021,0,,,103,,,
ichikawa,2016,0,26871.0,204400.0,206,,,
ichikawa,2017,0,26796.0,,0,,,
ichikawa,2018,0,26481.0,207900.0,76,,,
ichikawa,2019,0,,,48,,,
ichikawa,2020,0,,,133,,,
ichikawa,2021,0,,,136,,,
itabashi,2016,0,32655.0,364500.0,52,,,
itabashi,2017,0,32113.0,,0,,,
itabashi,2018,0,33200.0,391800.0,53,,,
itabashi,2019,0,,,41,,,
itabashi,2020,0,,,151,,,
itabashi,2021,0,,,0,,,
katsushika,2016,0,20672.0,286900.0,55,,,
katsushika,2017,0,21138.0,,0,,,
katsushika,2018,0,21315.0,301300.0,0,,,
katsushika,2019,0,,,0,,,
katsushika,2020,0,,,0,,,
katsushika,2021,0,,,55,,,
kawaguchi,2016,0,21309.0,191700.0,130,,,
kawaguchi,2017,0,22935.0,,57,,,
kawaguchi,2018,0,22990.0,195300.0,115,,,
kawaguchi,2019,0,,,205,,,
kawaguchi,2020,0,,,40,,,
kawaguchi,2021,0,,,182,,,
kawasaki,2016,0,90278.0,,725,,,
kawasaki,2017,0,91753.0,,996,,,
kawasaki,2018,0,90857.0,,684,,,
kawasaki,2019,0,,,711,,,
kawasaki,2020,0,,,680,,,
kawasaki,2021,0,,,684,,,
kita,2016,0,21897.0,406600.0,77,,,
kita,2017,0,22055.0,,0,,,
kita,2018,0,23296.0,458700.0,0,,,
kita,2019,0,,,72,,,
kita,2020,0,,,0,,,
kita,2021,0,,,0,,,
komae,2016,0,4993.0,293900.0,0,,,
komae,2017,0,5319.0,,100,,,
komae,2018,0,4864.0,,149,,,
komae,2019,0,,,0,,,
komae,2020,0,,,0,,,
komae,2021,0,,,0,,,
koto,2016,1,28062.0,400900.0,429,,,
koto,2017,1,30523.0,,346,,,
koto,2018,1,29083.0,430700.0,391,,,
koto,2019,1,,,960,,,
koto,2020,1,,,651,,,
koto,2021,1,,,746,,,
matsudo,2016,0,20011.0,132000.0,0,,,
matsudo,2017,0,20181.0,,174,,,
matsudo,2018,0,20801.0,133600.0,149,,,
matsudo,2019,0,,,0,,,
matsudo,2020,0,,,66,,,
matsudo,2021,0,,,137,,,
meguro,2016,0,22220.0,811000.0,57,,,
meguro,2017,0,22717.0,,138,,,
meguro,2018,0,22491.0,876100.0,0,,,
meguro,2019,0,,,526,,,
meguro,2020,0,,,372,,,
meguro,2021,0,,,50,,,
minato,2016,1,21052.0,1508900.0,211,,,
minato,2017,1,20496.0,,233,,,
minato,2018,1,20132.0,1781100.0,232,,,
minato,2019,1,,,740,,,
minato,2020,1,,,648,,,
minato,2021,1,,,628,,,
misato,2016,0,5902.0,109100.0,128,,,
misato,2017,0,5545.0,,0,,,
misato,2018,0,6468.0,112900.0,0,,,
misato,2019,0,,,110,,,
misato,2020,0,,,52,,,
misato,2021,0,,,101,,,
mitaka,2016,0,12483.0,373500.0,0,,,
mitaka,2017,0,11522.0,,0,,,
mitaka,2018,0,11033.0,394100.0,109,,,
mitaka,2019,0,,,0,,,
mitaka,2020,0,,,93,,,
mitaka,2021,0,,,131,,,
musashino,2016,0,9874.0,499500.0,42,,,
musashino,2017,0,9995.0,,82,,,
musashino,2018,0,10345.0,532600.0,333,,,
musashino,2019,0,,,209,,,
musashino,2020,0,,,134,,,
musashino,2021,0,,,378,,,
nakano,2016,0,26519.0,497500.0,297,,,
nakano,2017,0,25958.0,,345,,,
nakano,2018,0,26432.0,544400.0,340,,,
nakano,2019,0,,,496,,,
nakano,2020,0,,,482,,,
nakano,2021,0,,,311,,,
narashino,2016,0,9998.0,145900.0,62,,,
narashino,2017,0,8645.0,,0,,,
narashino,2018,0,8337.0,150600.0,50,,,
narashino,2019,0,,,188,,,
narashino,2020,0,,,279,,,
narashino,2021,0,,,160,,,
nerima,2016,1,40088.0,351800.0,1050,,,
nerima,2017,1,40738.0,,1009,,,
nerima,2018,1,40939.0,369400.0,908,,,
nerima,2019,1,,,904,,,
nerima,2020,1,,,929,,,
nerima,2021,1,,,917,,,
ota,2016,0,41320.0,478000.0,583,,,
ota,2017,0,43007.0,,636,,,
ota,2018,0,43444.0,501700.0,607,,,
ota,2019,0,,,810,,,
ota,2020,0,,,574,,,
ota,2021,0,,,577,,,
setagaya,2016,1,57908.0,544100.0,551,,,
setagaya,2017,1,57563.0,,574,,,
setagaya,2018,1,57683.0,589300.0,560,,,
setagaya,2019,1,,,548,,,
setagaya,2020,1,,,539,,,
setagaya,2021,1,,,633,,,
shibuya,2016,1,19564.0,1054000.0,705,,,
shibuya,2017,1,19679.0,,799,,,
shibuya,2018,1,19255.0,1142100.0,884,,,
shibuya,2019,1,,,943,,,
shibuya,2020,1,,,829,,,
shibuya,2021,1,,,854,,,
shinagawa,2016,1,27386.0,661000.0,837,,,
shinagawa,2017,1,28197.0,,921,,,
shinagawa,2018,1,30021.0,758900.0,940,,,
shinagawa,2019,1,,,1006,,,
shinagawa,2020,1,,,604,,,
shinagawa,2021,1,,,392,,,
shinjuku,2016,1,27701.0,661100.0,745,,,
shinjuku,2017,1,28394.0,,1043,,,
shinjuku,2018,1,29035.0,709300.0,946,,,
shinjuku,2019,1,,,1037,,,
shinjuku,2020,1,,,936,,,
shinjuku,2021,1,,,865,,,
soka,2016,0,9747.0,129400.0,178,,,
soka,2017,0,10022.0,,0,,,
soka,2018,0,10097.0,132600.0,74,,,
soka,2019,0,,,0,,,
soka,2020,0,,,0,,,
soka,2021,0,,,0,,,
suginami,2016,0,39414.0,467600.0,560,,,
suginami,2017,0,39625.0,,588,,,
suginami,2018,0,39097.0,500000.0,568,,,
suginami,2019,0,,,634,,,
suginami,2020,0,,,431,,,
suginami,2021,0,,,459,,,
sumida,2016,1,17983.0,368300.0,700,,,
sumida,2017,1,19083.0,,757,,,
sumida,2018,1,18787.0,393500.0,698,,,
sumida,2019,1,,,938,,,
sumida,2020,1,,,655,,,
sumida,2021,1,,,657,,,
taito,2016,0,14224.0,740000.0,53,,,
taito,2017,0,14884.0,,39,,,
taito,2018,0,15728.0,806300.0,85,,,
taito,2019,0,,,653,,,
taito,2020,0,,,384,,,
taito,2021,0,,,224,,,
toda,2016,0,7790.0,217300.0,0,,,
toda,2017,0,7387.0,,0,,,
toda,2018,0,7231.0,223800.0,203,,,
toda,2019,0,,,170,,,
toda,2020,0,,,161,,,
toda,2021,0,,,123,,,
toshima,2016,0,21776.0,499200.0,32,,,
toshima,2017,0,21837.0,,57,,,
toshima,2018,0,21903.0,548000.0,25,,,
toshima,2019,0,,,617,,,
toshima,2020,0,,,284,,,
toshima,2021,0,,,75,,,
urayasu,2016,0,9947.0,261600.0,699,,,
urayasu,2017,0,9582.0,,785,,,
urayasu,2018,0,9973.0,,785,,,
urayasu,2019,0,,,904,,,
urayasu,2020,0,,,571,,,
urayasu,2021,0,,,446,,,
wako,2016,0,6595.0,229800.0,833,,,
wako,2017,0,6539.0,,838,,,
wako,2018,0,6876.0,239200.0,803,,,
wako,2019,0,,,798,,,
wako,2020,0,,,454,,,
wako,2021,0,,,736,,,
yashio,2016,0,4307.0,119300.0,87,,,
yashio,2017,0,4982.0,,0,,,
yashio,2018,0,5452.0,124600.0,0,,,
yashio,2019,0,,,80,,,
yashio,2020,0,,,0,,,
yashio,2021,0,,,0,,,
yokohama,2016,1,178977.0,,339,,,
yokohama,2017,1,177695.0,,374,,,
yokohama,2018,1,183286.0,,370,,,
yokohama,2019,1,,,470,,,
yokohama,2020,1,,,301,,,
yokohama,2021,1,,,347,,,
